,delivery_region,lot_name,count
11132,Москва,Услуги по обращению с прочими отходами,377
16608,Пермский,Препараты диагностические,377
20906,Сургут,Услуги по дополнительному профессиональному образованию прочие,375
8146,Москва,Оборудование для дворовых территорий прочее,371
10874,Москва,Торговое оборудование и мебель...,366
11456,Москва,"Флаги, вымпелы, прочая флажная продукция...",362
10794,Москва,Техническое обслуживание бытовой техники....,360
8513,Москва,Оценка движимого имущества,359
7560,Москва,"Маска хирургическая, одноразового использования",359
11524,Москва,Холодильники бытовые...,358
10848,Москва,Ткани прочие....,358
21736,Тюменская,"Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки",356
5753,Москва,Блоки питания....,356
7824,Москва,"Монтаж, установка, сборка систем охранно-пожарной сигнализации....",355
6551,Москва,Изделия бумажные гигиенического  назначения....,350
6738,Москва,Испытания качества....,347
11158,Москва,Услуги по предоставлению доступа к On-Line версии справочно-правовой системы,345
7426,Москва,Лампы светодиодные....,343
6733,Москва,Иные консалтинговые услуги....,341
4583,Краснодарский,Услуги по профессиональному обучению,340
11694,Москва,Шредеры...,339
5686,Москва,Батареи аккумуляторные свинцово-кислотные,337
8287,Москва,Обслуживание техническое и текущий ремонт инженерных коммуникаций в зданиях образовательных организаций....,336
5542,Москва,Аренда автомобилей грузовых с водителем....,335
9317,Москва,Работы по изготовлению полиграфической продукции прочей....,334
8989,Москва,Предоставление каналов связи....,334
9940,Москва,Сетевое и связное оборудование,334
6535,Москва,Изготовление текстильных изделий....,333
7319,Москва,Краски на основе акриловых и виниловых полимеров в водной среде,331
11493,Москва,Фурнитура для мебели металлическая,329
10104,Москва,Смеси асфальтобетонные...,326
10838,Москва,Техническое обслуживание информационно-технологического оборудования,326
20899,Сургут,Услуги организаций санитарно-эпидемиологической службы,325
11073,Москва,Услуги междугородной телефонной связи....,324
6679,Москва,"Инструмент бытовой, кроме электроинструмента",324
7455,Москва,Лента строительная адгезивная прочая...,323
9825,Москва,Ручной садовый инструмент...,322
5817,Москва,Бумага туалетная....,322
11610,Москва,Шины пневматические для легкового автомобиля,320
6429,Москва,Зеркала интерьерные,318
8149,Москва,Оборудование для детских площадок прочее,318
6328,Москва,Жесткие диски для компьютеров....,317
6040,Москва,Газонокосилки...,316
11055,Москва,Услуги дезинсекции....,315
5381,Москва,Аксессуары для банка и инкассации....,314
3235,Краснодарский,"Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки",312
11246,Москва,Услуги стационарной телефонной связи....,311
10840,Москва,Техническое обслуживание машин и оборудования (в том числе гарантийного)....,308
5698,Москва,Бензин автомобильный (розничная реализация),307
21704,Тюменская,"Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки",307
7355,Москва,Кронштейны и иные устройства для крепления бытовой техники к стенам,306
9135,Москва,Проведение экспертизы качества....,306
3690,Краснодарский,Оборудование и установки для фильтрования или очистки воздуха прочие,305
6808,Москва,Камеры видеонаблюдения.,304
7180,Москва,Конверты почтовые,304
10601,Москва,Стулья на металлическом каркасе,302
10829,Москва,Техническое обслуживание и текущий ремонт систем видеонаблюдения....,300
6651,Москва,Инвентарь садовый пластмассовый,300
10604,Москва,Стулья ученические,298
10752,Москва,Термометр жидкостный стеклянный технический....,295
4205,Краснодарский,Средства дезинфекционные,294
8688,Москва,Перчатки хозяйственные трикотажные,294
10823,Москва,Техническое обслуживание и текущий ремонт противопожарного оборудования....,293
8681,Москва,"Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные",293
10555,Москва,"Стремянки, лестницы переносные....",293
7695,Москва,Металлоизделия готовые прочие...,291
10962,Москва,"Уборка комплексная (зимняя/летняя, ручная/механизированная)....",290
10976,Москва,Удлинители бытового и аналогичного назначения....,290
8110,Москва,Обеспечение периодическими изданиями....,288
6777,Москва,Кабели силовые с медной жилой на напряжение до 1 КВ,288
8516,Москва,"Оценка недвижимого имущества для целей приватизации, принятия управленческих решений, постановки на баланс",288
7714,Москва,Мешки полимерные,286
11769,Москва,Экспертиза технического состояния,284
6424,Москва,"Земля, торф, смеси (субстрат и дренаж)....",284
17721,Пермский,Услуги санаторно-курортных организаций,281
8617,Москва,Папки картонные,281
10817,Москва,Техническое обслуживание и текущий ремонт оборудования для учета....,279
8487,Москва,Оснастка к садовой технике...,279
8297,Москва,Обслуживание техническое и текущий ремонт нежилых помещений и зданий,278
6438,Москва,Зимняя уборка прочих объектов....,277
7330,Москва,Кресла,277
11570,Москва,Часы настенные,277
4794,Краснодарский,"Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений",275
11411,Москва,"Фармацевтические субстанции и вспомогательные вещества, используемые для аптечного изготовления лекарственных препаратов",274
9794,Москва,"Ролики, чековая лента для устройств кроме факса...",273
11015,Москва,Усилительно-акустические устройства....,271
7234,Москва,Контейнеры и другие емкости для мусора металлические....,270
4422,Краснодарский,Услуги консультативные в области окружающей среды,270
8049,Москва,Настольные и напольные светильники....,268
6653,Москва,Инвентарь уборочный металлический,267
11652,Москва,Шкафы хозяйственные металлические,267
6405,Москва,Запчасти для автотранспорта прочие...,266
7813,Москва,"Монтаж, установка, сборка оборудования узлов учета....",264
3390,Краснодарский,"Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата",262
10803,Москва,"Техническое обслуживание и содержание парков, мест отдыха и досуга....",260
7572,Москва,Масла моторные,259
5949,Москва,Вода минеральная,258
6396,Москва,Запасные части к видеопроекторам для кинотеатров,258
5996,Москва,"Выключатели автоматические (автоматы), устройства защитные и коммутации электрические....",256
10371,Москва,Средство дезинфицирующее для медицинских учреждений,256
9747,Москва,Ремонт текущий зданий и сооружений культуры и образования....,256
10099,Москва,Смарт-карта Идентификационная...,256
9436,Москва,Разработка псд на монтаж оборудования....,254
6160,Москва,Дверные доводчики,253
11022,Москва,Услуги архивов прочие,252
9738,Москва,Ремонт оргтехники для офиса....,250
7251,Москва,Конфеты,250
7688,Москва,Мероприятия профилактические санитарно-противоэпидемические,249
11842,Москва,Эмали,249
8168,Москва,Оборудование для перевозки грузов,249
8528,Москва,"Оценка соответствия, аттестация санитарно-эпидемиологическим нормам....",249
9287,Москва,Пурифайер...,248
7819,Москва,"Монтаж, установка, сборка прочего оборудования",248
6337,Москва,Жидкость для омывателей стекла,246
8293,Москва,Обслуживание техническое и текущий ремонт легковых автомобилей,246
11254,Москва,Услуги технические охранные прочие....,244
11006,Москва,Урны для благоустройства территории...,243
10214,Москва,"Составные и заменяемые части, принадлежности и комплектующие для оборудования функциональной диагностики",242
6322,Москва,Жалюзи оконные...,241
7007,Москва,Клеи,241
6226,Москва,Диспенсеры и д.,240
7610,Москва,Материалы строительные полимерные,240
5546,Москва,Аренда автомобилей легковых с водителем....,240
9713,Москва,Ремонт и обслуживание музыкальных инструментов....,239
7162,Москва,Композиции из срезанных цветов....,238
6206,Москва,Диваны,238
4446,Краснодарский,"Услуги по дезинфекции, дезинсекции и дератизации",238
3523,Краснодарский,"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода",238
11855,Москва,Этикетки самоклеящиеся...,238
17296,Пермский,Услуги охраны,237
7374,Москва,Кулеры...,236
8824,Москва,Повышение профессиональной квалификации....,235
10868,Москва,Топливо дизельное (розничная реализация),235
11033,Москва,"Услуги в области медицины прочие, не включенные в другие группировки",234
4679,Краснодарский,"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки",234
9313,Москва,Работы по благоустройству территорий учреждений образования....,234
10358,Москва,"Средства технические организации дорожного движения, кроме светофоров.",231
8837,Москва,Погрузо-разгрузочные работы при внутригородской перевозке грузов и корреспонденции....,230
7708,Москва,Метрологическое обслуживание не медицинских изделий...,228
6633,Москва,Инвентарь для санузлов металлический,228
5819,Москва,Бумага форматная белая,226
6654,Москва,Инвентарь уборочный пластмассовый,226
6682,Москва,"Инструмент мерительный электронный, оптический и электронно-оптический...",225
20878,Сургут,"Услуги в области медицины прочие, не включенные в другие группировки",225
11770,Москва,Экспресс-тесты для бесприборной диагностики,224
6519,Москва,Изготовление металлоизделий....,224
9525,Москва,"Расходные материалы и комплектующие для кино- и видеотехники, фотографического оборудования",223
9986,Москва,Системный блок...,223
7970,Москва,"Наборы слесарно-монтажного инструмента для комплектации и технического обслуживания автомобилей, тракторов и прочих машин....",223
9259,Москва,Прочие природоохранные экологические работы....,223
9861,Москва,"Салфетки, насадки для уборки, полотна технические, ветошь",222
10545,Москва,Столы ученические,221
6530,Москва,Изготовление сувениров....,221
11090,Москва,Услуги по аттестации объектов....,221
10132,Москва,Смесители....,220
17300,Пермский,"Услуги печатные прочие, не включенные в другие группировки",218
4484,Краснодарский,Услуги по обеспечению пожарной безопасности,217
6277,Москва,Доски магнитно-маркерные...,217
5592,Москва,Аренда погрузчиков с экипажем....,217
7798,Москва,"Монтаж, установка, сборка бытовых кондиционеров....",216
6896,Москва,Кассовые аппараты....,216
6756,Москва,Источники бесперебойного питания....,216
10367,Москва,Средства чистящие универсального назначения,215
8328,Москва,Обслуживание техническое лифтов....,215
6249,Москва,"Документационное обеспечение, делопроизводство",215
3396,Краснодарский,Кондиционеры бытовые,215
9871,Москва,Санитарное содержание и уборка нежилых помещений,214
8682,Москва,Перчатки трикотажные для защиты от внешних воздействий,214
17409,Пермский,"Услуги по перевозке пассажиров сухопутным транспортом прочие, не включенные в другие группировки",214
8924,Москва,Полотенца бумажные....,212
10837,Москва,Техническое обслуживание и текущий ремонт энергооборудования....,212
6171,Москва,Декорации баннерные,212
11624,Москва,Шкафы архивные металлические,211
9804,Москва,Рукава пожарные напорные.,210
10449,Москва,Стеллажи складские металлические,209
17769,Пермский,"Услуги, предоставляемые врачами общей врачебной практики, прочие, не включенные в другие группировки",208
8130,Москва,Оборудование активное сетевое прочее,208
16895,Пермский,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",206
4439,Краснодарский,"Услуги печатные прочие, не включенные в другие группировки",205
9360,Москва,Радиотелефон....,205
11837,Москва,Элементы питания (батарейки),204
7698,Москва,"Металлопрокат из черных металлов, кроме рельсов прочий",204
11252,Москва,Услуги телекоммуникационные ограниченного доступа для нужд заказчика прочие....,203
7399,Москва,Лабораторное оборудование....,202
11005,Москва,Управление интеллектуальной собственностью,201
7859,Москва,Мыло туалетное жидкое,200
7757,Москва,Мойка автотранспортных средств....,200
8045,Москва,"Насосы, компрессоры и их части",199
3564,Краснодарский,"Мебель для сидения, преимущественно с металлическим каркасом",198
7594,Москва,Материалы для лепки и скульптуры...,197
7450,Москва,Лента клейкая канцелярская...,197
6740,Москва,Испытания прочности и устойчивости....,197
8716,Москва,Пиломатериалы непрофилированные из хвойных пород,196
9254,Москва,Прочие компьютерные комплектующие....,196
4606,Краснодарский,"Услуги по ремонту и техническому обслуживанию прочего оборудования общего назначения, не включенного в другие группировки",196
8669,Москва,Периодические измерения состояния конструкций (мониторинг)....,196
8217,Москва,Оборудование кросс-коммутационное и распределительное для сетей и линий связи,195
5634,Москва,Арматура....,194
10791,Москва,Технический надзор строительства....,193
8707,Москва,Печи микроволновые...,193
10851,Москва,Товары детские (кроме одежды) прочие,193
9918,Москва,Сейфы прочие,193
7044,Москва,Коврик для пола антибактериальный,193
9178,Москва,Проекторы,191
4761,Краснодарский,"Услуги, предоставляемые врачами общей врачебной практики, прочие, не включенные в другие группировки",191
5375,Москва,Аккумуляторы для устройств бесперебойного питания....,190
10933,Москва,Трубы и детали трубопроводов прочие,190
21045,Сургут,"Услуги, предоставляемые врачами общей врачебной практики, прочие, не включенные в другие группировки",190
11709,Москва,Шторы рулонные из ткани...,190
11791,Москва,Электродвигатель....,190
7481,Москва,Линолеумы....,189
5904,Москва,Видеокамеры...,189
5633,Москва,Арматура электротехническая прочая,189
17362,Пермский,"Услуги по обеспечению питанием, осуществляемые по договору, прочие",189
11492,Москва,"Фурнитура для мебели деревянная, пластиковая",188
9532,Москва,"Расходные материалы и комплектующие для принтеров, печатающих не на бумаге...",188
17925,Пермский,"Шприцы, иглы, катетеры, канюли и аналогичные инструменты",188
11847,Москва,Энергетическое оборудование....,187
3008,Краснодарский,"Бензин автомобильный с октановым числом более 95, но не более 98 по исследовательскому методу экологического класса К5",187
4760,Краснодарский,"Услуги, предоставляемые врачами общей врачебной практики, по проведению диагностических процедур и постановке диагноза",187
7608,Москва,Материалы расходные для учебного оборудования,186
11496,Москва,Фурнитура для сантехнического оборудования....,186
9353,Москва,Радиаторы....,186
9881,Москва,"Санитарное содержание и уборка территорий, прилегающих к нежилым зданиям",186
6122,Москва,Грамоты.,184
11199,Москва,Услуги по техническому осмотру транспортных средств....,184
6504,Москва,Изготовление изделий из комбинации различных материалов....,184
10622,Москва,Сушилки для рук,183
8526,Москва,"Оценка соответствия, аттестация нормам пожарной безопасности....",182
17870,Пермский,"Части и принадлежности для автотранспортных средств прочие, не включенные в другие группировки",182
9889,Москва,Сбор и анализ (обработка) сведений....,182
8399,Москва,Ограждения...,182
11703,Москва,Штативы и стойки концертных и театральных залов,181
11211,Москва,Услуги по формированию и передаче видеоизображений от систем видеонаблюдения....,180
17593,Пермский,"Услуги по розничной торговле непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах",179
12014,Московская,ОКПД 2,178
11529,Москва,Холодильное оборудование....,178
7524,Москва,Люминесцентные лампы....,177
8517,Москва,"Оценка недвижимого имущества, арендуемого субъектами малого и среднего предпринимательства",177
10018,Москва,Системы контроля доступа....,176
23926,Ямало-Ненецкий,Препараты противоопухолевые,176
10807,Москва,Техническое обслуживание и текущий ремонт грузовых автомобилей....,176
9792,Москва,Розетки штепсельные бытового назначения,176
11169,Москва,"Услуги по приему, обработке, утилизации и (или) обезвреживанию и (или) размещению (захоронению) отходов III - V класcов опасности....",176
9573,Москва,"Расходные материалы, комплектующие для прочего бытового оборудования...",175
9485,Москва,Расходные материалы для автотранспорта...,175
17772,Пермский,"Услуги, предоставляемые прочими научными и техническими консультантами, не включенными в другие группировки",175
5541,Москва,Аренда автомобилей грузовых с водителем,175
16767,Пермский,"Прочие услуги по техническому обслуживанию и ремонту прочих автотранспортных средств, не включенные в другие группировки",174
10722,Москва,Тепловые завесы...,174
8183,Москва,Оборудование для уроков труда,174
7103,Москва,Коммутатор,173
8785,Москва,Пленка упаковочная,173
11160,Москва,Услуги по предоставлению доступа к локальной версии справочно-правовой системы,173
16602,Пермский,Препараты антибактериальные для системного использования,173
